n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_bacc,val_f1_worse
500,-1,0.2,15,10,0.8,0.8,0.0,1.0,0.6034391534391534,0.2033898305084746
500,3,0.1,15,10,1.0,0.8,0.0,1.0,0.6021751910640799,0.25
300,3,0.1,63,20,0.8,0.8,0.1,0.1,0.6016754850088183,0.26190476190476186
100,-1,0.2,63,20,1.0,1.0,0.0,0.1,0.6011463844797178,0.31578947368421045
300,-1,0.1,63,30,1.0,0.8,0.0,0.1,0.6006466784244562,0.3384615384615384
300,-1,0.1,15,20,0.8,0.8,0.1,1.0,0.6003821281599059,0.3174603174603175
500,5,0.05,15,10,1.0,1.0,0.0,1.0,0.6001175778953557,0.2647058823529411
500,5,0.2,15,20,1.0,1.0,0.1,0.1,0.5998530276308055,0.24242424242424246
300,-1,0.2,15,30,1.0,1.0,0.1,0.1,0.5980599647266314,0.2608695652173913
500,-1,0.2,15,30,1.0,1.0,0.1,0.1,0.5980599647266314,0.2608695652173913
500,3,0.1,63,30,1.0,0.8,0.1,0.1,0.596002351557907,0.27272727272727276
500,3,0.1,31,30,0.8,0.8,0.1,0.1,0.596002351557907,0.27272727272727276
500,3,0.1,63,30,1.0,0.8,0.0,0.1,0.5949735449735449,0.25
300,5,0.2,31,10,0.8,1.0,0.0,1.0,0.5949735449735449,0.2769230769230769
500,-1,0.2,63,20,0.8,1.0,0.0,0.1,0.5929159318048207,0.3214285714285714
500,-1,0.2,15,30,0.8,0.8,0.1,0.1,0.5926513815402704,0.26666666666666666
300,-1,0.2,15,20,1.0,0.8,0.0,0.1,0.5908583186360964,0.28125
500,3,0.2,63,10,1.0,0.8,0.1,0.1,0.5903292181069959,0.2153846153846154
500,5,0.1,31,20,1.0,1.0,0.0,0.1,0.5903292181069959,0.23333333333333334
300,3,0.2,31,10,0.8,0.8,0.1,0.1,0.5903292181069959,0.2153846153846154
300,5,0.1,15,20,0.8,1.0,0.0,1.0,0.5885361552028219,0.23880597014925375
500,3,0.1,31,20,0.8,1.0,0.0,0.1,0.58777189888301,0.24324324324324323
300,-1,0.2,63,20,1.0,1.0,0.1,0.1,0.5875073486184598,0.23880597014925375
500,-1,0.2,63,20,0.8,1.0,0.1,0.1,0.5875073486184598,0.23880597014925375
500,-1,0.2,15,30,0.8,0.8,0.0,1.0,0.587007642563198,0.3174603174603175
500,3,0.2,31,20,1.0,0.8,0.0,0.1,0.586713697824809,0.16666666666666666
100,-1,0.2,63,30,1.0,1.0,0.0,0.1,0.5862139917695474,0.24137931034482762
100,-1,0.2,63,30,1.0,0.8,0.0,0.1,0.5862139917695474,0.2456140350877193
300,-1,0.2,63,20,0.8,0.8,0.0,1.0,0.584920634920635,0.2033898305084746
300,-1,0.2,15,20,0.8,0.8,0.0,1.0,0.5833921222810111,0.25
